16:44:27:02 | I | Program start
16:49:29:25 | I | Program start
16:50:14:13 | E | 값이 너무 크거나 작아 부호 없는 바이트 형식에 맞지 않습니다.
16:50:28:17 | E | 값이 너무 크거나 작아 부호 없는 바이트 형식에 맞지 않습니다.
16:53:21:70 | I | Program start
17:03:51:07 | I | Program start
17:04:22:72 | I | Program close
17:10:47:47 | I | Program start
17:11:47:14 | I | Program close
17:12:09:04 | I | Program start
17:12:19:32 | I | Program close
17:13:16:41 | I | Program start
17:13:39:67 | I | Program close
17:24:52:67 | I | Program start
17:25:22:14 | I | Program close
17:28:21:92 | I | Program start
17:28:39:76 | I | Program close
