00:00:04:15 | I | Matching ok | SEQ : 20174634880, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:00:13:00 | I | Matching ok | SEQ : 20174634990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:00:21:27 | I | Matching ok | SEQ : 20174634980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:00:28:60 | I | Matching ok | SEQ : 20174634970, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:00:30:62 | I | Matching ok | SEQ : 20174634960, PART : N/A, SCAN N/A, CELL [2,4]
00:00:36:65 | I | Matching ok | SEQ : 20174634950, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:00:46:62 | I | Matching ok | SEQ : 20174634940, PART : 68193661AB, SCAN P68193661AB, CELL [2,6]
00:13:22:54 | I | Matching ok | SEQ : 20174635050, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:13:25:71 | W | Mismatching | SEQ : 20174635040, PART : 52124713AD, SCAN TQ41797H0276, CELL [1,2]
00:13:32:32 | W | Mismatching | SEQ : 20174635040, PART : 52124713AD, SCAN TQ41797H0276, CELL [1,2]
00:13:50:62 | I | Matching ok | SEQ : 20174635040, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:14:04:34 | I | Matching ok | SEQ : 20174635030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:14:17:87 | I | Matching ok | SEQ : 20174635020, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
00:14:29:52 | I | Matching ok | SEQ : 20174635010, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:14:42:64 | I | Matching ok | SEQ : 20174635000, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
00:15:03:52 | I | Matching ok | SEQ : 20174635110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:15:15:62 | I | Matching ok | SEQ : 20174635100, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:15:30:07 | I | Matching ok | SEQ : 20174635090, PART : 68193661AB, SCAN P68193661AB, CELL [2,3]
00:15:43:52 | I | Matching ok | SEQ : 20174635080, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:15:50:19 | I | Matching ok | SEQ : 20174635070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:16:10:62 | I | Matching ok | SEQ : 20174635060, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:25:19:98 | I | Matching ok | SEQ : 20174635170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:26:15:61 | I | Matching ok | SEQ : 20174635160, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:26:28:91 | I | Matching ok | SEQ : 20174635150, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:26:45:78 | I | Matching ok | SEQ : 20174635140, PART : 68193661AB, SCAN P68193661AB, CELL [1,4]
00:26:57:99 | I | Matching ok | SEQ : 20174635130, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:27:00:02 | I | Matching ok | SEQ : 20174635120, PART : N/A, SCAN N/A, CELL [1,6]
00:27:02:05 | I | Matching ok | SEQ : 20174635230, PART : N/A, SCAN N/A, CELL [2,1]
00:27:08:23 | I | Matching ok | SEQ : 20174635220, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:27:10:27 | I | Matching ok | SEQ : 20174635210, PART : N/A, SCAN N/A, CELL [2,3]
00:27:23:28 | I | Matching ok | SEQ : 20174635200, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:27:34:06 | I | Matching ok | SEQ : 20174635190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:27:49:84 | I | Matching ok | SEQ : 20174635180, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:36:22:85 | I | Matching ok | SEQ : 20174635290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:36:35:60 | I | Matching ok | SEQ : 20174635280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:36:50:42 | I | Matching ok | SEQ : 20174635270, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
00:36:52:45 | I | Matching ok | SEQ : 20174635260, PART : N/A, SCAN N/A, CELL [1,4]
00:37:04:92 | I | Matching ok | SEQ : 20174635250, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
00:38:03:40 | I | Matching ok | SEQ : 20174635240, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:39:09:08 | I | Matching ok | SEQ : 20174635350, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
00:39:32:00 | I | Matching ok | SEQ : 20174635340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:39:44:65 | I | Matching ok | SEQ : 20174635330, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:39:57:58 | I | Matching ok | SEQ : 20174635320, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:40:12:75 | I | Matching ok | SEQ : 20174635310, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
