00:06:46:20 | W | Mismatching | SEQ : 20174670210, PART : 04578885AC, SCAN TQ41847C1466, CELL [1,1]
00:06:51:35 | I | Matching ok | SEQ : 20174670210, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:07:06:35 | I | Matching ok | SEQ : 20174670200, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:07:22:58 | I | Matching ok | SEQ : 20174670190, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:07:34:45 | I | Matching ok | SEQ : 20174670180, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:07:46:90 | I | Matching ok | SEQ : 20174670170, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
00:07:48:94 | I | Matching ok | SEQ : 20174670160, PART : N/A, SCAN N/A, CELL [1,6]
00:08:02:73 | I | Matching ok | SEQ : 20174670270, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:08:07:68 | I | Matching ok | SEQ : 20174670260, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:08:15:15 | I | Matching ok | SEQ : 20174670250, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:08:22:00 | I | Matching ok | SEQ : 20174670240, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:08:36:45 | I | Matching ok | SEQ : 20174670230, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
00:08:38:47 | I | Matching ok | SEQ : 20174670220, PART : N/A, SCAN N/A, CELL [2,6]
00:15:22:39 | I | Matching ok | SEQ : 20174670330, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
00:15:33:39 | I | Matching ok | SEQ : 20174670320, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:15:39:79 | I | Matching ok | SEQ : 20174670310, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:15:41:81 | I | Matching ok | SEQ : 20174670300, PART : N/A, SCAN N/A, CELL [1,4]
00:15:43:82 | I | Matching ok | SEQ : 20174670290, PART : N/A, SCAN N/A, CELL [1,5]
00:15:51:04 | I | Matching ok | SEQ : 20174670280, PART : 68193661AB, SCAN P68193661AB, CELL [1,6]
00:15:55:04 | I | Matching ok | SEQ : 20174670390, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:16:11:64 | I | Matching ok | SEQ : 20174670380, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:16:15:34 | I | Matching ok | SEQ : 20174670370, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:16:24:07 | I | Matching ok | SEQ : 20174670360, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:16:35:44 | I | Matching ok | SEQ : 20174670350, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:16:56:12 | I | Matching ok | SEQ : 20174670340, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:27:14:60 | I | Matching ok | SEQ : 20174670450, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:27:16:64 | I | Matching ok | SEQ : 20174670440, PART : N/A, SCAN N/A, CELL [1,2]
00:27:19:78 | I | Matching ok | SEQ : 20174670430, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
00:27:25:16 | I | Matching ok | SEQ : 20174670420, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:27:30:03 | I | Matching ok | SEQ : 20174670410, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:27:40:03 | I | Matching ok | SEQ : 20174670400, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:28:02:48 | I | Matching ok | SEQ : 20174670510, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
00:28:16:46 | I | Matching ok | SEQ : 20174670500, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:28:24:68 | I | Matching ok | SEQ : 20174670490, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:28:26:70 | I | Matching ok | SEQ : 20174670480, PART : N/A, SCAN N/A, CELL [2,4]
00:28:40:33 | I | Matching ok | SEQ : 20174670470, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:28:44:91 | I | Matching ok | SEQ : 20174670460, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:39:05:52 | I | Matching ok | SEQ : 20174670570, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:39:24:25 | I | Matching ok | SEQ : 20174670560, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:39:26:29 | I | Matching ok | SEQ : 20174670550, PART : N/A, SCAN N/A, CELL [1,3]
00:39:38:40 | I | Matching ok | SEQ : 20174670540, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:39:40:42 | I | Matching ok | SEQ : 20174670530, PART : N/A, SCAN N/A, CELL [1,5]
00:40:12:62 | I | Matching ok | SEQ : 20174670520, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:40:32:77 | I | Matching ok | SEQ : 20174670630, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:40:36:37 | I | Matching ok | SEQ : 20174670620, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:40:43:37 | I | Matching ok | SEQ : 20174670610, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:40:45:39 | I | Matching ok | SEQ : 20174670600, PART : N/A, SCAN N/A, CELL [2,4]
00:41:05:58 | I | Matching ok | SEQ : 20174670590, PART : 68193661AB, SCAN P68193661AB, CELL [2,5]
00:41:16:25 | I | Matching ok | SEQ : 20174670580, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:49:32:54 | I | Matching ok | SEQ : 20174670690, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:49:46:56 | I | Matching ok | SEQ : 20174670680, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:50:04:66 | I | Matching ok | SEQ : 20174670670, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:50:17:59 | I | Matching ok | SEQ : 20174670660, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:50:31:21 | I | Matching ok | SEQ : 20174670650, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:50:33:22 | I | Matching ok | SEQ : 20174670640, PART : N/A, SCAN N/A, CELL [1,6]
00:51:07:06 | I | Matching ok | SEQ : 20174670750, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:51:24:44 | I | Matching ok | SEQ : 20174670740, PART : 68193661AB, SCAN P68193661AB, CELL [2,2]
00:51:37:31 | I | Matching ok | SEQ : 20174670730, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:51:57:29 | I | Matching ok | SEQ : 20174670720, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:52:09:67 | I | Matching ok | SEQ : 20174670710, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:52:11:70 | I | Matching ok | SEQ : 20174670700, PART : N/A, SCAN N/A, CELL [2,6]
00:52:13:81 | I | Matching ok | SEQ : 20174670810, PART : N/A, SCAN N/A, CELL [1,1]
00:59:33:90 | I | Matching ok | SEQ : 20174670800, PART : 68193661AB, SCAN P68193661AB, CELL [1,2]
00:59:52:75 | I | Matching ok | SEQ : 20174670790, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:59:56:65 | I | Matching ok | SEQ : 20174670780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:00:04:01 | W | Mismatching | SEQ : 20174670770, PART : 68193661AB, SCAN P52124713AD, CELL [1,5]
01:00:27:18 | I | Matching ok | SEQ : 20174670770, PART : 68193661AB, SCAN P68193661AB, CELL [1,5]
01:00:35:70 | I | Matching ok | SEQ : 20174670760, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:00:50:21 | I | Matching ok | SEQ : 20174670870, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:00:59:65 | I | Matching ok | SEQ : 20174670860, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:01:28:28 | I | Matching ok | SEQ : 20174670850, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:01:35:10 | I | Matching ok | SEQ : 20174670840, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:01:37:13 | I | Matching ok | SEQ : 20174670830, PART : N/A, SCAN N/A, CELL [2,5]
01:01:39:14 | I | Matching ok | SEQ : 20174670820, PART : N/A, SCAN N/A, CELL [2,6]
01:19:00:80 | I | Matching ok | SEQ : 20174670930, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:19:02:83 | I | Matching ok | SEQ : 20174670920, PART : N/A, SCAN N/A, CELL [1,2]
01:19:09:96 | I | Matching ok | SEQ : 20174670910, PART : 68193661AB, SCAN P68193661AB, CELL [1,3]
01:19:26:58 | I | Matching ok | SEQ : 20174670900, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
01:19:35:43 | I | Matching ok | SEQ : 20174670890, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
01:19:37:45 | I | Matching ok | SEQ : 20174670880, PART : N/A, SCAN N/A, CELL [1,6]
01:19:44:13 | I | Matching ok | SEQ : 20174670990, PART : 68193661AB, SCAN P68193661AB, CELL [2,1]
01:19:50:26 | I | Matching ok | SEQ : 20174670980, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
01:19:55:73 | I | Matching ok | SEQ : 20174670970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:20:01:16 | I | Matching ok | SEQ : 20174670960, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
01:20:15:28 | I | Matching ok | SEQ : 20174670950, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:20:20:98 | I | Matching ok | SEQ : 20174670940, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:27:48:17 | I | Matching ok | SEQ : 20174671050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:28:00:72 | I | Matching ok | SEQ : 20174671040, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:28:14:72 | I | Matching ok | SEQ : 20174671030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:28:16:75 | I | Matching ok | SEQ : 20174671020, PART : N/A, SCAN N/A, CELL [1,4]
