00:11:36:65 | I | Matching ok | SEQ : 20174710530, PART : 68193661AB, SCAN P68193661AB, CELL [1,1]
00:11:52:53 | I | Matching ok | SEQ : 20174710520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:11:57:21 | I | Matching ok | SEQ : 20174710510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:12:03:11 | I | Matching ok | SEQ : 20174710500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:12:11:50 | I | Matching ok | SEQ : 20174710490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:12:17:40 | I | Matching ok | SEQ : 20174710480, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:12:26:18 | I | Matching ok | SEQ : 20174710590, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:12:29:73 | I | Matching ok | SEQ : 20174710580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:12:38:20 | I | Matching ok | SEQ : 20174710570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:12:47:63 | I | Matching ok | SEQ : 20174710560, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:12:56:16 | I | Matching ok | SEQ : 20174710550, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:12:59:75 | I | Matching ok | SEQ : 20174710540, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:17:25:81 | I | Matching ok | SEQ : 20174710650, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:17:47:47 | I | Matching ok | SEQ : 20174710640, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:17:50:44 | I | Matching ok | SEQ : 20174710630, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:17:54:06 | I | Matching ok | SEQ : 20174710620, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:17:57:89 | I | Matching ok | SEQ : 20174710610, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:18:04:91 | I | Matching ok | SEQ : 20174710600, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:18:12:99 | I | Matching ok | SEQ : 20174710710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:18:16:66 | I | Matching ok | SEQ : 20174710700, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:18:25:14 | I | Matching ok | SEQ : 20174710690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:18:28:79 | I | Matching ok | SEQ : 20174710680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:18:37:54 | I | Matching ok | SEQ : 20174710670, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:18:40:14 | I | Matching ok | SEQ : 20174710660, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:25:45:65 | I | Matching ok | SEQ : 20174710770, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:25:49:15 | I | Matching ok | SEQ : 20174710760, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:25:54:20 | I | Matching ok | SEQ : 20174710750, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:25:58:00 | I | Matching ok | SEQ : 20174710740, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:26:10:17 | I | Matching ok | SEQ : 20174710730, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:26:18:80 | I | Matching ok | SEQ : 20174710720, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:26:27:30 | I | Matching ok | SEQ : 20174710830, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:26:39:48 | I | Matching ok | SEQ : 20174710820, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
00:26:49:90 | I | Matching ok | SEQ : 20174710810, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:26:59:50 | I | Matching ok | SEQ : 20174710800, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:27:03:50 | I | Matching ok | SEQ : 20174710790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:27:11:93 | I | Matching ok | SEQ : 20174710780, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:34:25:16 | I | Matching ok | SEQ : 20174710890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:34:28:71 | I | Matching ok | SEQ : 20174710880, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
00:34:49:86 | I | Matching ok | SEQ : 20174710870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:34:55:19 | I | Matching ok | SEQ : 20174710860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
