00:05:48:90 | W | Mismatching | SEQ : 20174734890, PART : 52124713AD, SCAN P52124712AD, CELL [1,1]
00:11:12:71 | I | Matching ok | SEQ : 20174734890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:11:14:73 | I | Matching ok | SEQ : 20174734880, PART : N/A, SCAN N/A, CELL [1,2]
00:11:20:91 | I | Matching ok | SEQ : 20174734870, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:11:33:01 | I | Matching ok | SEQ : 20174734860, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:11:42:44 | I | Matching ok | SEQ : 20174734850, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:11:44:48 | I | Matching ok | SEQ : 20174734840, PART : N/A, SCAN N/A, CELL [1,6]
00:11:53:76 | I | Matching ok | SEQ : 20174734950, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:11:55:78 | I | Matching ok | SEQ : 20174734940, PART : N/A, SCAN N/A, CELL [2,2]
00:12:04:81 | I | Matching ok | SEQ : 20174734930, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:12:33:06 | I | Matching ok | SEQ : 20174734920, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:12:35:09 | I | Matching ok | SEQ : 20174734910, PART : N/A, SCAN N/A, CELL [2,5]
00:12:41:33 | I | Matching ok | SEQ : 20174734900, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:20:17:95 | I | Matching ok | SEQ : 20174735010, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:20:19:97 | I | Matching ok | SEQ : 20174735000, PART : N/A, SCAN N/A, CELL [1,2]
00:20:33:12 | I | Matching ok | SEQ : 20174734990, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:21:12:02 | I | Matching ok | SEQ : 20174734980, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:21:23:82 | I | Matching ok | SEQ : 20174734970, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
00:21:34:97 | I | Matching ok | SEQ : 20174734960, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:21:36:99 | I | Matching ok | SEQ : 20174735070, PART : N/A, SCAN N/A, CELL [2,1]
00:21:46:15 | I | Matching ok | SEQ : 20174735060, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:21:58:70 | I | Matching ok | SEQ : 20174735050, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:22:00:72 | I | Matching ok | SEQ : 20174735040, PART : N/A, SCAN N/A, CELL [2,4]
00:22:12:72 | I | Matching ok | SEQ : 20174735030, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:22:17:64 | I | Matching ok | SEQ : 20174735020, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:29:23:11 | I | Matching ok | SEQ : 20174735130, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:29:26:78 | I | Matching ok | SEQ : 20174735120, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:29:29:41 | I | Matching ok | SEQ : 20174735110, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:29:37:26 | I | Matching ok | SEQ : 20174735100, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:29:40:96 | I | Matching ok | SEQ : 20174735090, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:29:42:98 | I | Matching ok | SEQ : 20174735080, PART : N/A, SCAN N/A, CELL [1,6]
00:29:46:84 | I | Matching ok | SEQ : 20174735190, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:29:48:84 | I | Matching ok | SEQ : 20174735180, PART : N/A, SCAN N/A, CELL [2,2]
00:29:52:24 | I | Matching ok | SEQ : 20174735170, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:29:59:93 | I | Matching ok | SEQ : 20174735160, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:30:01:95 | I | Matching ok | SEQ : 20174735150, PART : N/A, SCAN N/A, CELL [2,5]
00:37:18:38 | I | Matching ok | SEQ : 20174735140, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
00:37:42:00 | I | Matching ok | SEQ : 20174735250, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
00:37:48:62 | I | Matching ok | SEQ : 20174735240, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:37:57:75 | I | Matching ok | SEQ : 20174735230, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
00:38:04:67 | I | Matching ok | SEQ : 20174735220, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:38:14:27 | I | Matching ok | SEQ : 20174735210, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:38:27:12 | I | Matching ok | SEQ : 20174735200, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:38:38:35 | I | Matching ok | SEQ : 20174735310, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
00:38:40:37 | I | Matching ok | SEQ : 20174735300, PART : N/A, SCAN N/A, CELL [2,2]
00:38:47:77 | I | Matching ok | SEQ : 20174735290, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
00:38:49:79 | I | Matching ok | SEQ : 20174735280, PART : N/A, SCAN N/A, CELL [2,4]
00:39:07:50 | I | Matching ok | SEQ : 20174735270, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:39:13:77 | I | Matching ok | SEQ : 20174735260, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:39:15:89 | I | Matching ok | SEQ : 20174735370, PART : N/A, SCAN N/A, CELL [1,1]
00:39:17:90 | I | Matching ok | SEQ : 20174735360, PART : N/A, SCAN N/A, CELL [1,2]
00:39:19:92 | I | Matching ok | SEQ : 20174735350, PART : N/A, SCAN N/A, CELL [1,3]
00:48:46:01 | I | Matching ok | SEQ : 20174735340, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:48:48:03 | I | Matching ok | SEQ : 20174735330, PART : N/A, SCAN N/A, CELL [1,5]
00:49:30:14 | I | Matching ok | SEQ : 20174735320, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:49:49:31 | I | Matching ok | SEQ : 20174735430, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:49:56:49 | I | Matching ok | SEQ : 20174735420, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:49:58:51 | I | Matching ok | SEQ : 20174735410, PART : N/A, SCAN N/A, CELL [2,3]
00:50:05:89 | I | Matching ok | SEQ : 20174735400, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:50:21:14 | I | Matching ok | SEQ : 20174735390, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:50:28:84 | I | Matching ok | SEQ : 20174735380, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
01:13:56:85 | I | Matching ok | SEQ : 20174735490, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
01:13:58:86 | I | Matching ok | SEQ : 20174735480, PART : N/A, SCAN N/A, CELL [1,2]
01:14:03:10 | I | Matching ok | SEQ : 20174735470, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
01:14:10:77 | I | Matching ok | SEQ : 20174735460, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:14:12:79 | I | Matching ok | SEQ : 20174735450, PART : N/A, SCAN N/A, CELL [1,5]
01:14:18:00 | I | Matching ok | SEQ : 20174735440, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:14:23:87 | I | Matching ok | SEQ : 20174735550, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
01:14:25:88 | I | Matching ok | SEQ : 20174735540, PART : N/A, SCAN N/A, CELL [2,2]
01:14:31:45 | I | Matching ok | SEQ : 20174735530, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:14:33:46 | I | Matching ok | SEQ : 20174735520, PART : N/A, SCAN N/A, CELL [2,4]
01:14:35:48 | I | Matching ok | SEQ : 20174735510, PART : N/A, SCAN N/A, CELL [2,5]
01:14:38:78 | I | Matching ok | SEQ : 20174735500, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:14:41:02 | I | Matching ok | SEQ : 20174735610, PART : N/A, SCAN N/A, CELL [1,1]
01:22:01:29 | I | Matching ok | SEQ : 20174735600, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:22:09:18 | I | Matching ok | SEQ : 20174735590, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
01:22:15:06 | I | Matching ok | SEQ : 20174735580, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:22:17:08 | I | Matching ok | SEQ : 20174735570, PART : N/A, SCAN N/A, CELL [1,5]
01:22:21:14 | I | Matching ok | SEQ : 20174735560, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
01:22:41:08 | I | Matching ok | SEQ : 20174735670, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
01:22:48:16 | I | Matching ok | SEQ : 20174735660, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:23:05:66 | I | Matching ok | SEQ : 20174735650, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
01:23:07:71 | I | Matching ok | SEQ : 20174735640, PART : N/A, SCAN N/A, CELL [2,4]
01:23:11:29 | I | Matching ok | SEQ : 20174735630, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
01:23:17:56 | I | Matching ok | SEQ : 20174735620, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
01:32:36:05 | I | Matching ok | SEQ : 20174735730, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
01:32:38:50 | I | Matching ok | SEQ : 20174735720, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
01:32:40:51 | I | Matching ok | SEQ : 20174735710, PART : N/A, SCAN N/A, CELL [1,3]
01:32:56:75 | I | Matching ok | SEQ : 20174735700, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
01:32:59:70 | I | Matching ok | SEQ : 20174735690, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
01:33:01:71 | I | Matching ok | SEQ : 20174735680, PART : N/A, SCAN N/A, CELL [1,6]
01:33:03:72 | I | Matching ok | SEQ : 20174735790, PART : N/A, SCAN N/A, CELL [2,1]
01:33:23:10 | I | Matching ok | SEQ : 20174735780, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
01:33:25:92 | I | Matching ok | SEQ : 20174735770, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
01:34:17:75 | I | Matching ok | SEQ : 20174735760, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
