10:33:19:33 | I | Program start
10:33:22:57 | I | LogIn Scandata : [320489320489]
10:51:04:20 | I | Matching ok | SEQ : 20174747850, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
10:51:07:64 | I | Matching ok | SEQ : 20174747840, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
10:51:13:57 | I | Matching ok | SEQ : 20174747830, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
10:51:33:59 | I | Matching ok | SEQ : 20174747820, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
10:51:36:44 | I | Matching ok | SEQ : 20174747810, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
10:51:42:04 | I | Matching ok | SEQ : 20174747800, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
10:51:45:69 | I | Matching ok | SEQ : 20174747910, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
10:51:50:54 | I | Matching ok | SEQ : 20174747900, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
10:51:55:04 | I | Matching ok | SEQ : 20174747890, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
10:52:00:34 | I | Matching ok | SEQ : 20174747880, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
10:52:11:92 | I | Matching ok | SEQ : 20174747870, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
10:52:18:19 | I | Matching ok | SEQ : 20174747860, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:06:07:11 | I | Matching ok | SEQ : 20174747970, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:06:10:44 | I | Matching ok | SEQ : 20174747960, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:06:15:29 | I | Matching ok | SEQ : 20174747950, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:06:18:37 | I | Matching ok | SEQ : 20174747940, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
11:06:22:91 | I | Matching ok | SEQ : 20174747930, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:06:25:59 | I | Matching ok | SEQ : 20174747920, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
11:06:29:34 | I | Matching ok | SEQ : 20174748030, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
11:09:04:44 | I | Matching ok | SEQ : 20174748020, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:09:09:97 | I | Matching ok | SEQ : 20174748010, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:09:31:84 | I | Matching ok | SEQ : 20174748000, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:09:36:24 | I | Matching ok | SEQ : 20174747990, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
11:09:38:64 | I | Matching ok | SEQ : 20174747980, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
11:13:45:83 | I | Matching ok | SEQ : 20174748090, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
11:13:49:65 | I | Matching ok | SEQ : 20174748080, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
11:13:52:35 | I | Matching ok | SEQ : 20174748070, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
11:13:55:78 | I | Matching ok | SEQ : 20174748060, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
11:14:00:25 | I | Matching ok | SEQ : 20174748050, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
11:14:02:77 | I | Matching ok | SEQ : 20174748040, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
11:14:07:97 | I | Matching ok | SEQ : 20174748150, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
11:14:11:25 | I | Matching ok | SEQ : 20174748140, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
11:14:13:90 | I | Matching ok | SEQ : 20174748130, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
11:14:16:87 | I | Matching ok | SEQ : 20174748120, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
11:14:20:07 | I | Matching ok | SEQ : 20174748110, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
11:14:23:17 | I | Matching ok | SEQ : 20174748100, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
