05:18:47:51 | I | Matching ok | SEQ : 20174748810, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:18:50:43 | I | Matching ok | SEQ : 20174748800, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:18:53:88 | I | Matching ok | SEQ : 20174748790, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
05:18:56:75 | I | Matching ok | SEQ : 20174748780, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:18:59:50 | I | Matching ok | SEQ : 20174748770, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:19:02:23 | I | Matching ok | SEQ : 20174748760, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
05:19:07:60 | I | Matching ok | SEQ : 20174748870, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
05:19:10:38 | I | Matching ok | SEQ : 20174748860, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:19:13:35 | I | Matching ok | SEQ : 20174748850, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:19:16:50 | I | Matching ok | SEQ : 20174748840, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:19:19:15 | I | Matching ok | SEQ : 20174748830, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:19:21:20 | I | Matching ok | SEQ : 20174748820, PART : N/A, SCAN N/A, CELL [2,6]
05:30:06:42 | I | Matching ok | SEQ : 20174748930, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:30:10:47 | I | Matching ok | SEQ : 20174748920, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:30:14:97 | I | Matching ok | SEQ : 20174748910, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
05:30:19:37 | I | Matching ok | SEQ : 20174748900, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
05:30:24:79 | I | Matching ok | SEQ : 20174748890, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:30:26:84 | I | Matching ok | SEQ : 20174748880, PART : N/A, SCAN N/A, CELL [1,6]
05:30:31:57 | I | Matching ok | SEQ : 20174748990, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
05:30:35:47 | I | Matching ok | SEQ : 20174748980, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:30:38:77 | I | Matching ok | SEQ : 20174748970, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:30:42:39 | I | Matching ok | SEQ : 20174748960, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:30:45:87 | I | Matching ok | SEQ : 20174748950, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:30:49:52 | I | Matching ok | SEQ : 20174748940, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:35:31:05 | I | Matching ok | SEQ : 20174749050, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
05:35:33:10 | I | Matching ok | SEQ : 20174749040, PART : N/A, SCAN N/A, CELL [1,2]
05:35:36:07 | I | Matching ok | SEQ : 20174749030, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:35:44:18 | I | Matching ok | SEQ : 20174749020, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:35:46:22 | I | Matching ok | SEQ : 20174749010, PART : N/A, SCAN N/A, CELL [1,5]
05:36:08:30 | I | Matching ok | SEQ : 20174749000, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:36:12:15 | I | Matching ok | SEQ : 20174749110, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
05:36:16:18 | I | Matching ok | SEQ : 20174749100, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
05:36:20:13 | I | Matching ok | SEQ : 20174749090, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
05:36:24:33 | I | Matching ok | SEQ : 20174749080, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
05:36:27:70 | I | Matching ok | SEQ : 20174749070, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
05:36:30:63 | I | Matching ok | SEQ : 20174749060, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
05:48:07:42 | I | Matching ok | SEQ : 20174749170, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
05:48:10:52 | I | Matching ok | SEQ : 20174749160, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
05:48:12:77 | I | Matching ok | SEQ : 20174749150, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
05:48:15:52 | I | Matching ok | SEQ : 20174749140, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
05:48:18:44 | I | Matching ok | SEQ : 20174749130, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
05:48:21:14 | I | Matching ok | SEQ : 20174749120, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
05:48:24:05 | I | Matching ok | SEQ : 20174749230, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
05:48:26:07 | I | Matching ok | SEQ : 20174749220, PART : N/A, SCAN N/A, CELL [2,2]
05:48:29:99 | W | Mismatching | SEQ : 20174749210, PART : 52124713AD, SCAN P04578885AC, CELL [2,3]
05:48:55:34 | I | Matching ok | SEQ : 20174749210, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
05:48:58:29 | I | Matching ok | SEQ : 20174749200, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
05:49:01:52 | I | Matching ok | SEQ : 20174749190, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
05:49:04:14 | I | Matching ok | SEQ : 20174749180, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:07:58:22 | I | Matching ok | SEQ : 20174749290, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:08:01:05 | I | Matching ok | SEQ : 20174749280, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:08:03:08 | I | Matching ok | SEQ : 20174749270, PART : N/A, SCAN N/A, CELL [1,3]
06:08:06:85 | I | Matching ok | SEQ : 20174749260, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:08:15:63 | I | Matching ok | SEQ : 20174749250, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:08:20:42 | I | Matching ok | SEQ : 20174749240, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
06:08:24:12 | I | Matching ok | SEQ : 20174749350, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:08:30:10 | I | Matching ok | SEQ : 20174749340, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:08:35:52 | I | Matching ok | SEQ : 20174749330, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:08:47:82 | I | Matching ok | SEQ : 20174749320, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:08:51:57 | I | Matching ok | SEQ : 20174749310, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
06:08:54:45 | I | Matching ok | SEQ : 20174749300, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:20:54:12 | I | Matching ok | SEQ : 20174749410, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:20:56:14 | I | Matching ok | SEQ : 20174749400, PART : N/A, SCAN N/A, CELL [1,2]
06:20:58:16 | I | Matching ok | SEQ : 20174749390, PART : N/A, SCAN N/A, CELL [1,3]
06:21:01:64 | I | Matching ok | SEQ : 20174749380, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
06:21:08:79 | I | Matching ok | SEQ : 20174749370, PART : 04578885AC, SCAN P04578885AC, CELL [1,5]
06:21:18:59 | I | Matching ok | SEQ : 20174749360, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:21:22:96 | I | Matching ok | SEQ : 20174749470, PART : 52124713AD, SCAN P52124713AD, CELL [2,1]
06:21:26:12 | I | Matching ok | SEQ : 20174749460, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
06:21:29:44 | I | Matching ok | SEQ : 20174749450, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
06:21:34:87 | I | Matching ok | SEQ : 20174749440, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
06:21:39:34 | I | Matching ok | SEQ : 20174749430, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
06:21:41:74 | I | Matching ok | SEQ : 20174749420, PART : 04578885AC, SCAN P04578885AC, CELL [2,6]
06:43:39:37 | I | Matching ok | SEQ : 20174749530, PART : 04578885AC, SCAN P04578885AC, CELL [1,1]
06:43:43:42 | I | Matching ok | SEQ : 20174749520, PART : 04578885AC, SCAN P04578885AC, CELL [1,2]
06:43:47:45 | I | Matching ok | SEQ : 20174749510, PART : 04578885AC, SCAN P04578885AC, CELL [1,3]
06:43:50:80 | I | Matching ok | SEQ : 20174749500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
06:43:52:81 | I | Matching ok | SEQ : 20174749490, PART : N/A, SCAN N/A, CELL [1,5]
06:43:56:25 | I | Matching ok | SEQ : 20174749480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
06:43:59:10 | I | Matching ok | SEQ : 20174749590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
06:44:01:60 | I | Matching ok | SEQ : 20174749580, PART : 04578885AC, SCAN P04578885AC, CELL [2,2]
06:44:04:47 | I | Matching ok | SEQ : 20174749570, PART : 04578885AC, SCAN P04578885AC, CELL [2,3]
