00:02:14:13 | W | Mismatching | SEQ : 20174830530, PART : 52124713AD, SCAN TQ41977C0838, CELL [1,1]
00:03:10:66 | I | Matching ok | SEQ : 20174830530, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
00:03:14:58 | I | Matching ok | SEQ : 20174830520, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:03:18:08 | I | Matching ok | SEQ : 20174830510, PART : 52124713AD, SCAN P52124713AD, CELL [1,3]
00:03:21:38 | I | Matching ok | SEQ : 20174830500, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:03:25:11 | I | Matching ok | SEQ : 20174830490, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:03:31:88 | I | Matching ok | SEQ : 20174830480, PART : 04578885AC, SCAN P04578885AC, CELL [1,6]
00:03:37:71 | I | Matching ok | SEQ : 20174830590, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:03:41:30 | I | Matching ok | SEQ : 20174830580, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:03:44:63 | I | Matching ok | SEQ : 20174830570, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:03:47:95 | I | Matching ok | SEQ : 20174830560, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:03:49:97 | I | Matching ok | SEQ : 20174830550, PART : N/A, SCAN N/A, CELL [2,5]
00:03:59:78 | I | Matching ok | SEQ : 20174830540, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:04:01:88 | I | Matching ok | SEQ : 20174830650, PART : N/A, SCAN N/A, CELL [1,1]
00:13:20:20 | I | Matching ok | SEQ : 20174830640, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:13:22:22 | I | Matching ok | SEQ : 20174830630, PART : N/A, SCAN N/A, CELL [1,3]
00:13:30:72 | I | Matching ok | SEQ : 20174830620, PART : 04578885AC, SCAN P04578885AC, CELL [1,4]
00:13:34:85 | I | Matching ok | SEQ : 20174830610, PART : 52124713AD, SCAN P52124713AD, CELL [1,5]
00:13:39:75 | I | Matching ok | SEQ : 20174830600, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:13:44:27 | I | Matching ok | SEQ : 20174830710, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:13:46:29 | I | Matching ok | SEQ : 20174830700, PART : N/A, SCAN N/A, CELL [2,2]
00:13:48:34 | I | Matching ok | SEQ : 20174830690, PART : 52124713AD, SCAN P52124713AD, CELL [2,3]
00:13:52:54 | I | Matching ok | SEQ : 20174830680, PART : 04578885AC, SCAN P04578885AC, CELL [2,4]
00:13:56:47 | I | Matching ok | SEQ : 20174830670, PART : 52124713AD, SCAN P52124713AD, CELL [2,5]
00:13:58:49 | I | Matching ok | SEQ : 20174830660, PART : N/A, SCAN N/A, CELL [2,6]
00:14:00:56 | I | Matching ok | SEQ : 20174830770, PART : N/A, SCAN N/A, CELL [1,1]
00:25:37:91 | I | Matching ok | SEQ : 20174830760, PART : 52124713AD, SCAN P52124713AD, CELL [1,2]
00:25:39:95 | I | Matching ok | SEQ : 20174830750, PART : N/A, SCAN N/A, CELL [1,3]
00:25:43:36 | I | Matching ok | SEQ : 20174830740, PART : 52124713AD, SCAN P52124713AD, CELL [1,4]
00:25:45:37 | I | Matching ok | SEQ : 20174830730, PART : N/A, SCAN N/A, CELL [1,5]
00:25:50:09 | I | Matching ok | SEQ : 20174830720, PART : 52124713AD, SCAN P52124713AD, CELL [1,6]
00:26:07:84 | I | Matching ok | SEQ : 20174830830, PART : 04578885AC, SCAN P04578885AC, CELL [2,1]
00:26:12:81 | I | Matching ok | SEQ : 20174830820, PART : 52124713AD, SCAN P52124713AD, CELL [2,2]
00:26:14:83 | I | Matching ok | SEQ : 20174830810, PART : N/A, SCAN N/A, CELL [2,3]
00:26:18:86 | I | Matching ok | SEQ : 20174830800, PART : 52124713AD, SCAN P52124713AD, CELL [2,4]
00:26:25:16 | I | Matching ok | SEQ : 20174830790, PART : 04578885AC, SCAN P04578885AC, CELL [2,5]
00:26:28:79 | I | Matching ok | SEQ : 20174830780, PART : 52124713AD, SCAN P52124713AD, CELL [2,6]
00:48:31:82 | I | Matching ok | SEQ : 20174830890, PART : 52124713AD, SCAN P52124713AD, CELL [1,1]
